generation,best_fitness,best_individual,std,mean
1,0.026661887009958477,1, 13.296571766769556, 11.625890531232624
2,0.026661887009958477,1, 12.156835986991508, 8.56972861403901
3,0.0266294431411181,1, 11.170848371569063, 6.895628325035378
4,0.02294189094739941,1, 6.417970042539044, 6.241936412190062
5,0.02294189094739941,1, 21.56585743995441, 10.353245246177558
6,0.014976567062145618,1, 12.970962676573343, 9.075407630513226
7,0.010790930686835358,1, 4.014721373489408, 2.5886194996767413
8,0.0033495185271528154,1, 11.584787297454218, 5.555728437360094
9,0.00017135145325767763,1, 10.719091411017203, 7.726159172484276
10,0.00017135145325767763,1, 6.118141139392084, 5.095047957436812
11,0.00017135145325767763,1, 14.151627580816855, 9.95961836655871
12,0.00017135145325767763,1, 4.649541380733246, 2.818709573768097
13,0.00017135145325767763,1, 15.81477102958174, 8.823422246203437
14,5.1265218473815676e-05,1, 7.9989617848164745, 6.023969280106888
15,5.1265218473815676e-05,1, 10.32755127430358, 8.886739934440278
16,5.1265218473815676e-05,1, 10.979580311499673, 5.143769798182667
17,5.1265218473815676e-05,1, 13.071549700101949, 6.513635007510461
18,5.1262594806591206e-05,1, 15.115122092070546, 7.813937650676107
19,5.065890597408221e-05,1, 6.113768281330505, 4.309884369814105
20,5.065890597408221e-05,1, 20.017872768518316, 11.224292974898342
21,5.065890597408221e-05,1, 14.850549064593567, 12.833325683457767
22,3.839920969012821e-05,1, 7.748536700625722, 4.735632814905627
23,3.83333036718428e-05,1, 20.105504764105383, 8.794967074479857
24,3.795416963779948e-05,1, 10.200358505517618, 5.957707142690287
25,3.1668496378806056e-05,1, 12.474275553021284, 7.512407726407161
26,3.1668496378806056e-05,1, 12.62609670785112, 5.960241795691576
27,3.1668496378806056e-05,1, 13.641229148131744, 11.562447869594662
28,3.1668496378806056e-05,1, 11.400756162727268, 6.109717876579689
29,2.5406282142987136e-05,1, 25.454020715451176, 13.495662162994629
30,2.5406282142987136e-05,1, 1.659299741340943, 0.9910477417811643
31,1.738756813090284e-05,1, 10.593929419838501, 7.4694301049784375
32,1.738756813090284e-05,1, 12.729142062449842, 10.009301636033376
33,1.738756813090284e-05,1, 19.461787324612352, 6.84638372629004
34,1.738756813090284e-05,1, 10.846674804428089, 6.2928682977944606
35,1.738756813090284e-05,1, 3.3487655447226423, 1.8186663320072172
36,1.738756813090284e-05,1, 15.239215967203657, 5.672070477875552
37,1.738756813090284e-05,1, 12.132226632329273, 6.2000753786609355
38,3.041522380834456e-06,1, 7.397222735460396, 4.4560940175246895
39,3.041522380834456e-06,1, 20.438944174842273, 13.624642689203359
40,3.041522380834456e-06,1, 26.59473977967194, 11.32861235982498
41,3.041522380834456e-06,1, 8.05858668128586, 5.401505368097715
42,3.041522380834456e-06,1, 7.844900440766563, 5.403610771056049
43,3.041522380834456e-06,1, 12.084871932827378, 4.445848006362762
44,3.041522380834456e-06,1, 11.168835370361222, 4.479774084629343
45,3.041522380834456e-06,1, 11.786549403480532, 6.799047520322912
46,2.759863862658652e-06,1, 8.385702864156313, 6.3996091285730525
47,2.759863862658652e-06,1, 11.193068687706628, 7.068329517676152
48,2.759863862658652e-06,1, 7.673922264357063, 5.769235199324796
49,2.759863862658652e-06,1, 7.839303411469437, 3.68403397438729
50,2.759863862658652e-06,1, 4.923319084159627, 2.502077239175021
51,2.759863862658652e-06,1, 7.78527539844168, 3.0988889925914656
52,2.759863862658652e-06,1, 14.435048786191784, 8.49900757183455
53,2.759863862658652e-06,1, 15.782919199326187, 8.250192059862917
54,2.759863862658652e-06,1, 6.190511821547059, 2.395761401815721
55,2.759863862658652e-06,1, 9.959629656049302, 6.400459702343235
56,2.759863862658652e-06,1, 12.026104659352113, 8.012636640949223
57,2.759863862658652e-06,1, 5.305427953873278, 3.690557115319135
58,2.759863862658652e-06,1, 7.9100096228904535, 4.270903811070201
59,1.611402582747469e-06,1, 10.1582328150722, 6.778338750239608
60,1.611402582747469e-06,1, 10.341278509908918, 5.737245113962908
61,1.611402582747469e-06,1, 22.616639785569735, 10.742917720994951
62,1.6111117468267247e-06,1, 17.66616616588326, 7.615629907823648
63,1.0824800812536032e-06,1, 9.536519662841503, 5.4380244160860824
64,1.0824800812536032e-06,1, 9.607057910863116, 6.072376776517502
65,1.0824800812536032e-06,1, 18.13561817579917, 8.629301117773966
66,1.0824800812536032e-06,1, 20.281433784952156, 13.522577583751351
67,1.0824800812536032e-06,1, 6.454502821224373, 3.721973933874862
68,1.0824800812536032e-06,1, 6.084561487652531, 3.7229524931950215
69,1.0816810647043046e-06,1, 9.209817470157885, 8.016080072301191
70,6.9031896643581e-07,1, 13.24477221166323, 8.107953452680185
71,6.9031896643581e-07,1, 12.208921579185134, 10.363093759406928
72,6.9031896643581e-07,1, 5.745812171041053, 4.91263481548457
73,6.9031896643581e-07,1, 18.280269245667096, 9.85234115200168
74,6.123895136126674e-07,1, 18.483462901622385, 11.807389503762817
75,6.123895136126674e-07,1, 14.157370942395291, 6.530609353536939
76,6.123895136126674e-07,1, 9.577117659772501, 6.035939615945015
77,6.123895136126674e-07,1, 11.248331597866093, 6.130827818622647
78,6.123895136126674e-07,1, 9.286676433194641, 6.141088159017151
79,6.123895136126674e-07,1, 13.110450271504254, 3.8699656526071964
80,6.123895136126674e-07,1, 11.942167332246354, 6.624227687377064
81,6.123895136126674e-07,1, 8.830435268616684, 4.29649331426021
82,6.123895136126674e-07,1, 7.288411149778043, 3.567808476408934
83,6.123895136126674e-07,1, 16.85968904108295, 7.594149325963614
84,6.123895136126674e-07,1, 7.681506904471631, 5.107586970437984
85,5.890944210377537e-07,1, 13.363060857644221, 9.785126216538346
86,5.890944210377537e-07,1, 11.446675449628186, 5.314127931913785
87,5.890944210377537e-07,1, 13.256547248752776, 8.095815071164363
88,5.890944210377537e-07,1, 9.607423083585292, 4.460715771940092
89,2.0733126746630536e-07,1, 13.301852808294313, 7.092572889220282
90,2.0733126746630536e-07,1, 15.536066219005683, 7.17631436799279
91,2.0733126746630536e-07,1, 15.535779121051275, 9.042424298580064
92,2.0733126746630536e-07,1, 8.226735768792905, 4.523944442470678
93,2.0733126746630536e-07,1, 9.248557025182956, 4.654109464555957
94,2.0733126746630536e-07,1, 15.104295717940305, 8.727680181183155
95,2.0733126746630536e-07,1, 11.300293997794235, 6.275618117074579
96,2.0733126746630536e-07,1, 11.229209606158202, 8.832051714531936
97,9.180164293698328e-08,1, 15.19876280338975, 10.07463995937192
98,9.180164293698328e-08,1, 19.76632081557235, 15.49279593229583
99,9.180164293698328e-08,1, 5.8963634166018535, 3.6289773708243076
100,9.180164293698328e-08,1, 7.423433531161776, 5.080617773241091
