generation,best_fitness,best_individual,std,mean
1,5.011904297657466,1, 12.923756912303553, 15.158400717361351
2,5.000030200826953,1, 14.217713175924693, 14.933609067555643
3,5.000017625284846,1, 2.9191444756721605, 6.5454720405035856
4,5.000017625284846,1, 7.555284854981462, 8.48262729279018
5,5.000017625284846,1, 10.713621660459886, 9.268643500297863
6,5.00000180650556,1, 4.8719904579532445, 7.291612548886139
7,5.000000405563808,1, 4.8065572884475385, 7.559266497065428
8,5.000000342716296,1, 14.854037793962277, 10.126886461860636
9,5.000000273573375,1, 8.57178479604715, 6.878806075146169
10,5.00000023288485,1, 9.309392301462173, 7.112451305560454
11,5.00000007855495,1, 1.5234698155991506, 5.490196763703053
12,5.00000007855495,1, 14.886025476290866, 11.3589104093333
13,5.00000007855495,1, 7.7305508029107255, 9.454738165518584
14,5.000000017181103,1, 15.092689739496663, 12.691114557498704
15,5.000000017181103,1, 10.901061531012141, 9.16580514617476
16,5.000000017181103,1, 11.860994285088275, 8.48772334050846
17,5.000000017181103,1, 14.581027225642671, 13.045425838756078
18,5.000000012100722,1, 4.287192322368068, 6.8483578478715605
19,5.000000002431655,1, 5.269292370050272, 6.885272688444298
20,5.000000000093969,1, 14.963021118460476, 10.082694629494597
21,5.000000000004441,1, 2.540948089760935, 5.7103408113089085
22,5.000000000004441,1, 2.44948172854762, 5.500151119719959
23,5.000000000004441,1, 11.862114381217548, 8.023087307010714
24,5.000000000004441,1, 9.569558001229286, 8.017817199096658
25,5.000000000000178,1, 0.7418459986613409, 5.188785630202789
26,5.000000000000178,1, 2.83386483955028e-10, 5.000000000120799
27,5.000000000000178,1, 18.56963147668601, 14.319327792142271
28,5.000000000000178,1, 8.77918639650343, 7.125487823243986
29,5.000000000000178,1, 17.37142159193864, 12.529693760598263
30,5.000000000000178,1, 13.56134841329736, 8.999023735523421
31,5.000000000000178,1, 8.908301807739583, 6.817382921173887
32,5.000000000000178,1, 15.8961343165231, 10.863294593525936
33,5.000000000000178,1, 6.676535918028747e-06, 5.000000953791023
34,5.000000000000178,1, 10.133899679570202, 8.249755784869803
35,5.000000000000178,1, 13.56460822122547, 8.999984741224743
36,5.000000000000178,1, 11.781754490117851, 7.9766101825575175
37,5.000000000000178,1, 13.562176356474854, 8.999267615334414
38,5.000000000000178,1, 3.8126058384320115e-09, 5.000000001408075
39,5.000000000000178,1, 16.511288830249605, 11.66088865193903
40,5.000000000000178,1, 10.933887141545828, 7.7568361618907264
41,5.000000000000178,1, 0.0, 5.000000000000178
42,5.000000000000178,1, 16.252675249294505, 12.765657312323292
43,5.000000000000178,1, 18.069810358269585, 12.878566741228418
44,5.000000000000178,1, 16.079968387051316, 10.93773650754899
45,5.000000000000178,1, 18.241041581172976, 12.961002347533089
46,5.000000000000178,1, 11.937086352298216, 8.249267592982672
47,5.000000000000178,1, 0.0, 5.000000000000178
48,5.000000000000178,1, 11.872892626537537, 7.999633800216795
49,5.000000000000178,1, 14.999919891501754, 9.999973297157727
50,5.000000000000178,1, 15.772429681850118, 11.566893477633416
